"Variable","N","Sites","q001.01","q001.min","q999.99","q999.max","IQR.01","IQR.min","IQR.99","IQR.max"
"ALB",35,35,-1.83186799063151e-15,-2.77555756156289e-15,100,100,2.4704300216,2.42362826,61.7406830711393,61.842777380514
"APAR",6,5,-8.8010564497105,-9.262084,2159.36775251,2160.1771882,243.2425,241.6,619.192879,619.22808
"CH4",56,45,482.67041128525,-22.6326112,12219.3033272319,14461.20035067,23.1682761285654,23.0290570592299,382.707966275,414.5448095
"CH4_MIXING_RATIO",56,24,1797.51180078859,1785.52544866893,8112.18309722497,8367.79918191511,18.4177714427322,18.34696797221,389.923136394471,569.859795907727
"CO2",867,339,197.22152537835,-5.3671186,1029.1657968,1206.765525,7.13959672131629,6.19652270389406,82.3266164098153,208.147154436815
"CO2_MIXING_RATIO",495,76,257.071901355994,216.872712,853.8727666,1173.83441021785,6.85744149892352,5.81247733417752,93.8704160554253,212.356171476255
"CO2_SIGMA",29,28,0,0,151.54976338048,151.850849889,0.00255637762,0.0024,7.56196082513802,7.5945034525
"D_SNOW",39,32,-18.128,-21.7,336.06824599208,375.003687084,0.512642952,0,149.078536815,149.31054325
"FAPAR",5,5,-3.227568,-3.2383,98.0208296000001,98.0313200000001,85.3382,85.15,90.3616,90.37
"FC",422,370,-120.36399861,-203.067871,119.021013980001,183.101935,0.31682,0.242289458475,12.28467801,28.916
"FCH4",71,49,-3188.54154,-3494.10785,4639.49431942902,5290.78852000011,3.232458768725,1.63769850075,277.303335,341.62
"FETCH_70",58,56,1.73675607189,0.062223423,9452.07642999998,9581.06800000003,4.30869925,3.9607,419.208498431,552.635
"FETCH_80",28,26,0.04918049037,0.044356392,5612.00197101439,5986.00251999992,5.55324000000001,4.74000000000001,554.011845,661.3575
"FETCH_90",118,116,0.00076426806296,0,11588.8604784,21732.0096,6.93137025000001,5.93385000000001,1109.84387564725,1898.3765
"FETCH_MAX",111,109,0.0001202253753,-0.1198710864,3842.04071899995,3951.62435200001,2.5179975,2.16625,175.356,302.2625
"FH2O",14,13,-7.1667363534,-7.20397158,11.3043020906003,11.3105060000003,0.20722717375,0.156721345,1.256953875,1.259185
"G",678,293,-164.464506135683,-362.21848,250.876102199999,416.499199999997,1.40086565,0.748,81.97969775,111.4775043325
"GPP",93,80,-22.20983235738,-22.497471,75.336,79.2,0,0,15.330496,19.421
"H",454,381,-452.003253473201,-689.500532,758.639641920002,1035.01161600002,17.436421,9.1969625,207.075499999999,245.3998045
"H2O",654,296,-0.260853036,-30.4355535,52.4569169663432,72.74675,3.12753506325,2.25,16.9260895826344,19.02383
"H2O_MIXING_RATIO",381,74,9.73189454027814e-06,-41.8704964,43.1310453996619,44.4597919130632,3.3256523930128,3.20500105892961,17.7382777589043,19.7769
"H2O_SIGMA",25,24,0,0,11.6859541598816,12.005054378,0.08990469995,0.08838687275,1.51516854246,1.8036225
"LE",456,373,-422.681025,-837.2823,800.234401000002,939.610659999996,9.78586050135,6.9618235,176.2139767,199.80736839
"LEAF_WET",28,5,-0.66073,-0.661,110.7085139,110.96,0,0,100,100
"LW_BC_IN",50,50,121.791943,118.2293,537.595827000001,557.008500000002,29.261,24.9,117.621,121.1
"LW_BC_OUT",50,50,161.7608819655,149.75759405,736.31893,739.765100000001,29.792,19.6,122.626,123.9
"LW_IN",287,266,100.8139081,66.931971,564.740800277568,595.438347000001,32.267,16.8410906,106.226,109.1
"LW_OUT",283,261,149.8557774,142.8987212,675.45934874,736.947780000001,27.3762,15.8703535,117.424350856,129.47
"MO_LENGTH",115,112,-3970465864.62588,-4.31282e+16,5489176205.66201,43937600000004752,0.474640283465,0.0583388545,447.312065244526,498.882
"NDVI",10,10,-0.55448698,-0.562,0.992249064037323,1,0.0536,0.05,0.54295625,0.557
"NEE",202,152,-79.35291305,-89.125043,76.34828974,94.1988173407999,0.465447620950503,0.308,18.70119782725,29.0175
"NETRAD",400,347,-190.642612831534,-408.5966,984.34296219949,1429.56299999999,32.058232,16.415,403.0734864325,493.83025
"O3",8,1,-1.5722125804,-1.634479,91.9633771999997,92.0279199999999,15.2213975,15.1385,19.210725,19.227
"P",303,273,0,0,16.2485287999997,16.605758000002,NA,NA,NA,NA
"P_RAIN",77,66,0,0,25.1301503999989,44.3839599999958,NA,NA,NA,NA
"PA",400,365,66.68853570555,56.52,104.6772903482,105.6619286,0.161165660699996,0.0732927475000054,1.60100000000001,4.3
"PPFD_BC_IN",152,57,-8.91403408,-17.49804657,2310.1927393,2461.1056,4.8337,3.22,754.8616,784.5
"PPFD_DIF",34,34,-7.24116887,-8.9,1375.50555908,1384.35422,132.05769,131.4,271.5573965,275.0237
"PPFD_DIR",11,11,-45.85224,-50.8136,2166.98033,2169.7597,66.700092,65.6345,1109.75,1111.4
"PPFD_IN",598,331,-23.761088910566,-65.0000453,2312.6964884,2509.182,15.6741,5.37,1027.58389335833,1123.91
